Property,Jun 2023,Total
1003-BH1-JVC,"9,245.15","9,245.15"
1003-EDR-DWTN,"5,500.75","5,500.75"
1006-BS8-BUSBAY,"7,056.58","7,056.58"
1006-MG-ARJ,"5,000.10","5,000.10"
106-Y3-DWTN,"6,401.13","6,401.13"
1102-ARTB-DAMHL,"5,128.00","5,128.00"
1103-EDR-DWTN,"5,457.65","5,457.65"
1107-V-DAMHL2,"2,171.50","2,171.50"
110-AMV-DUMAR,0.00,0.00
111-B3-DEAMER,0.00,0.00
113-MG-ARJ,0.00,0.00
1204-BR-DWTN,"20,000.97","20,000.97"
127-VP-ARJ,"2,027.08","2,027.08"
132-L21-JVC,0.00,0.00
134-VN-DUBLND,"16,489.09","16,489.09"
1401-ARTD-DAMHL,"1,312.56","1,312.56"
1502-EDR-DWTN,"16,988.74","16,988.74"
1507-EBBR-BUSBAY,"10,020.00","10,020.00"
1509-1R2-ALKIF,"1,257.90","1,257.90"
1509-EBBR-BUSBAY,0.00,0.00
1510-EBBR-BUSBAY,"5,872.99","5,872.99"
1511-EBBR-BUSBAY,"3,790.95","3,790.95"
153-L21-JVC,"30,040.51","30,040.51"
1603-C2.0-DUBHL,"13,000.38","13,000.38"
1803-SDF4-JBR,"2,635.95","2,635.95"
1903-OT-DUBMAR,"5,270.05","5,270.05"
1905-BR-DWTN,"7,481.76","7,481.76"
1922-EBBR-BUSBAY,0.00,0.00
2001-SR3-DWTN,0.00,0.00
2012-EBBR-BUSBAY,"2,408.02","2,408.02"
204-GR-NADASH,"14,800.55","14,800.55"
206-GR-NADASH,"7,797.68","7,797.68"
208-GR-NADASH,"2,824.30","2,824.30"
212-LM-JVC,"1,812.16","1,812.16"
227-L21-JVC,"14,049.56","14,049.56"
2402-MW2-DM,"3,944.37","3,944.37"
2407-DV1-DWTN,"18,039.40","18,039.40"
2503-STB-DUBMAR,"14,759.33","14,759.33"
2508-JGT-JBR,"11,017.70","11,017.70"
2605-BA-AJDF,"1,860.15","1,860.15"
2704-DH-DUBMAR,"3,795.75","3,795.75"
303-HV1-DCRHR,"33,289.97","33,289.97"
304-C-DAMHL2,"10,862.92","10,862.92"
307-BR-DWTN,0.00,0.00
308-JGT-JBR,"30,600.00","30,600.00"
314-ER1-DUBHL,"5,139.61","5,139.61"
3311-CC-DAMHL,0.00,0.00
405-YB-DUBMAR,434.46,434.46
406B-BT1-DWTN,"2,032.30","2,032.30"
410-ER1-DUBHL,0.00,0.00
4401-BH1-DWTN,"178,526.52","178,526.52"
501-TCA-IMPZ,"4,651.01","4,651.01"
505-B184-DISGAR,"10,000.00","10,000.00"
508-EDR-DWTN,"6,769.64","6,769.64"
602B-L3A-DAMHL,"3,415.98","3,415.98"
605-RP-DWTN,0.00,0.00
611-AJ-JVT,"5,643.99","5,643.99"
622-BH-N,0.00,0.00
702-ELZ-ARJ,"4,500.85","4,500.85"
706-LTW-DWTN,"10,415.84","10,415.84"
707-MRB-DUBMAR,"7,205.86","7,205.86"
809-PH1-DUBHL,0.00,0.00
810-RR-BUSBAY,0.00,0.00
811-AJ-JVT,"5,028.42","5,028.42"
903-AOR-PLMJ,"8,857.74","8,857.74"
908-BR-DWTN,"6,755.26","6,755.26"
908-VR-BUSBAY,"19,809.67","19,809.67"
913-MG-ARJ,"6,007.48","6,007.48"
G05-Y2-DWTN,0.00,0.00
P505-BVT-EBFRT,"12,016.63","12,016.63"
